序号,度数,南北纬,度数,东西经,速率,时间,月日年,海拔
013238,4047.533,N,11141.856,E,253.6,013238,100517,1108
013239,4047.532,N,11141.852,E,254.3,013239,100517,1106
013239,4047.532,N,11141.852,E,254.3,013239,100517,1106
013241,4047.557,N,11141.837,E,252.0,013241,100517,1181
013242,4047.563,N,11141.830,E,255.4,013242,100517,1199
013243,4047.561,N,11141.826,E,257.0,013243,100517,1195
013244,4047.560,N,11141.821,E,258.9,013244,100517,1194
013245,4047.559,N,11141.815,E,260.2,013245,100517,1192
013246,4047.560,N,11141.810,E,259.4,013246,100517,1194
013247,4047.558,N,11141.806,E,252.7,013247,100517,1195
013248,4047.558,N,11141.800,E,257.7,013248,100517,1196
013249,4047.555,N,11141.796,E,259.9,013249,100517,1184
013250,4047.551,N,11141.791,E,258.7,013250,100517,1174
013251,4047.549,N,11141.787,E,254.0,013251,100517,1167
013252,4047.547,N,11141.783,E,254.8,013252,100517,1162
013253,4047.548,N,11141.779,E,259.7,013253,100517,1159
013254,4047.547,N,11141.776,E,273.7,013254,100517,1151
013255,4047.547,N,11141.771,E,298.6,013255,100517,1147
013256,4047.549,N,11141.769,E,327.2,013256,100517,1147
013257,4047.552,N,11141.767,E,338.5,013257,100517,1147
013258,4047.556,N,11141.766,E,341.1,013258,100517,1146
013259,4047.560,N,11141.764,E,340.4,013259,100517,1145
013300,4047.565,N,11141.762,E,339.9,013300,100517,1144
013301,4047.571,N,11141.759,E,339.6,013301,100517,1144
013302,4047.577,N,11141.757,E,339.2,013302,100517,1143
013303,4047.583,N,11141.754,E,338.7,013303,100517,1142
013304,4047.589,N,11141.751,E,339.4,013304,100517,1142
013305,4047.595,N,11141.748,E,339.1,013305,100517,1142
013306,4047.601,N,11141.746,E,339.9,013306,100517,1142
013307,4047.607,N,11141.743,E,340.3,013307,100517,1142
013308,4047.613,N,11141.741,E,341.2,013308,100517,1141
013309,4047.618,N,11141.738,E,342.0,013309,100517,1142
013310,4047.623,N,11141.737,E,342.1,013310,100517,
013311,4047.627,N,11141.735,E,342.6,013311,100517,1140
013312,4047.631,N,11141.734,E,342.9,013312,100517,1140
013313,4047.634,N,11141.733,E,343.2,013313,100517,1139
013314,4047.637,N,11141.732,E,343.4,013314,100517,1139
013315,4047.639,N,11141.731,E,343.5,013315,100517,1139
013316,4047.641,N,11141.730,E,343.4,013316,100517,1140
013317,4047.643,N,11141.730,E,343.3,013317,100517,1139
013318,4047.645,N,11141.729,E,343.0,013318,100517,1139
013319,4047.646,N,11141.728,E,343.0,013319,100517,1138
013320,4047.647,N,11141.728,E,338.0,013320,100517,1137
013321,4047.648,N,11141.727,E,338.0,013321,100517,1137
013322,4047.648,N,11141.727,E,338.0,013322,100517,1136
013323,4047.648,N,11141.727,E,338.0,013323,100517,1135
013324,4047.648,N,11141.727,E,338.0,013324,100517,1135
013325,4047.617,N,11141.721,E,338.0,013325,100517,1132
